B1,B2,B3,B4,Label
-79.67,-91.25,-82.75,-61,Empty
-79,-90.5,-77,-68.25,Empty
-79,-90.5,-77,-68.25,Empty
-77.33,-89.33,-75,-68.75,Empty
-77.33,-89.33,-75,-68.75,Empty
-76.5,-87,-73,-69.5,Empty
-76.5,-87,-73,-69.5,Empty
-75.67,-88,-73.67,-70.5,Empty
-75.67,-88,-73.67,-70.5,Empty
-76.67,-88.67,-73.67,-64.5,Empty
-76.67,-88.67,-73.67,-64.5,Empty
-79,-88.75,-73.67,-65,Empty
-79,-88.75,-73.67,-65,Empty
-81.33,-90.25,-75.5,-65.33,Empty
-81.33,-90.25,-75.5,-65.25,Empty
-81.25,-90.25,-79.25,-64.25,Empty
-81.25,-90.25,-79.25,-64.25,Empty
-81,-91,-81.5,-63.67,Empty
-81,-91,-81.5,-63,Empty
-81,-91.67,-84.33,-62.33,Empty
-81,-91.67,-84.33,-62,Empty
-80,-90,-81.67,-62,Empty
-80,-90,-81.67,-61.75,Empty
-79,-90,-76,-62,Empty
-79,-90,-76,-62.5,Empty
-77.67,-88,-73.33,-62.5,Empty
-77.67,-88,-73.33,-70,Empty
-76.75,-88,-73.25,-70,Empty
-76.75,-88,-73.25,-70.75,Empty
-75.5,-88,-73.25,-70.75,Empty
-75.5,-88,-73.25,-71,Empty
-76.5,-88,-73.25,-71,Empty
-76.5,-88,-73.25,-71.5,Empty
-78,-89,-73,-71.5,Empty
-78,-89,-73,-65.25,Empty
-79.75,-90,-75.25,-65.25,Empty
-79.75,-90,-75.25,-65.67,Empty
-81.67,-91,-80.75,-65.67,Empty
-81.67,-91,-80.75,-64.33,Empty
-80.33,-91,-85.25,-64.33,Empty
-80.33,-91,-85.25,-63.5,Empty
-79.67,-93,-85.25,-63.5,Empty
-79.67,-93,-85.25,-61,Empty
-79,-90.67,-83,-61,Empty
-79,-90.67,-83,-62,Empty
-77.75,-89,-77.75,-62,Empty
-77.75,-89,-77.75,-63,Empty
-76.5,-88.25,-73.33,-63,Empty
-76.5,-88.25,-73.33,-63.25,Empty
-75.25,-86.33,-73.67,-63.25,Empty
-75.25,-86.33,-73.67,-64.5,Empty
-74,-86.5,-73.67,-64.5,Empty
-74,-86.5,-73.67,-65.25,Empty
-80,-86,-78.33,-65.25,Empty
-80,-86,-78.33,-65.5,Empty
-81.75,-89,-79,-65.5,Empty
-81.75,-89,-79,-65.75,Empty
-83.5,-89,-81,-65.75,Empty
-83.5,-89,-81,-68.5,Empty
-84.75,-89.5,-87,-68.5,Empty
-84.75,-89.5,-87,-67,Empty
-79.75,-90.67,-85.5,-67,Empty
-79.75,-90.67,-85.5,-66,Empty
-79,-91.5,-83.5,-66,Empty
-79,-91.5,-83.5,-65,Empty
-78.5,-90,-81.5,-65,Empty
-78.5,-90,-81.5,-61.5,Empty
-77.25,-90,-75.5,-61.5,Empty
-77.25,-90,-75.5,-62.25,Empty
-81,-87,-73.25,-62.25,Empty
-81,-87,-73.25,-62.75,Empty
-80,-87.67,-77.25,-62.75,Empty
-80,-87.67,-77.25,-64,Empty
-78.75,-88.67,-77,-64,Empty
